longitude,latitude,year,month,day,hour,PV_power,WS10m
-4.48333,48.400002,2022,01,19,18,0.0,5.38
-4.48333,48.400002,2022,01,19,19,0.0,5.17
-4.48333,48.400002,2022,01,19,20,0.0,5.79
-4.48333,48.400002,2022,01,19,21,0.0,5.52
-4.48333,48.400002,2022,01,19,22,0.0,5.31
-4.48333,48.400002,2022,01,19,23,0.0,5.24
-4.48333,48.400002,2022,01,20,00,0.0,5.45
-4.48333,48.400002,2022,01,20,01,0.0,5.1
-4.48333,48.400002,2022,01,20,02,0.0,4.69
-4.48333,48.400002,2022,01,20,03,0.0,4.76
-4.48333,48.400002,2022,01,20,04,0.0,4.55
-4.48333,48.400002,2022,01,20,05,0.0,4.55
-4.48333,48.400002,2022,01,20,06,0.0,4.9
-4.48333,48.400002,2022,01,20,07,0.0,5.03
-4.48333,48.400002,2022,01,20,08,0.0,4.9
-4.48333,48.400002,2022,01,20,09,46.3,4.76
-4.48333,48.400002,2022,01,20,10,82.59,4.62
-4.48333,48.400002,2022,01,20,11,63.13,5.93
-4.48333,48.400002,2022,01,20,12,161.97,6.21
-4.48333,48.400002,2022,01,20,13,112.28,5.93
-4.48333,48.400002,2022,01,20,14,102.86,5.72
-4.48333,48.400002,2022,01,20,15,63.5,5.52
-4.48333,48.400002,2022,01,20,16,23.36,5.38
-4.48333,48.400002,2022,01,20,17,0.0,5.31
-4.48333,48.400002,2022,01,20,18,0.0,5.17
-4.48333,48.400002,2022,01,20,19,0.0,4.62
-4.48333,48.400002,2022,01,20,20,0.0,4.41
-4.48333,48.400002,2022,01,20,21,0.0,4.07
-4.48333,48.400002,2022,01,20,22,0.0,3.86
-4.48333,48.400002,2022,01,20,23,0.0,3.72
-4.48333,48.400002,2022,01,21,00,0.0,3.79
-4.48333,48.400002,2022,01,21,01,0.0,4.14
-4.48333,48.400002,2022,01,21,02,0.0,4.07
-4.48333,48.400002,2022,01,21,03,0.0,3.66
-4.48333,48.400002,2022,01,21,04,0.0,3.31
-4.48333,48.400002,2022,01,21,05,0.0,3.24
